age,going
17,No
33,No
42,No
45,No
45,No
35,No
30,No
32,No
25,No
28,No
35,No
47,Yes
25,No
29,No
23,No
21,No
50,No
28,No
29,No
34,No
31,No
24,No
23,No
45,Yes
21,No
37,No
42,No
32,No
27,No
31,No
32,No
34,Yes
43,No
30,No
26,No
33,No
39,No
54,No
35,No
25,No
25,No
56,Yes
20,No
25,No
26,No
35,No
27,No
62,No
33,No
31,No
37,No
30,No
26,No
24,No
23,No
30,No
29,No
24,No
50,No
32,No
27,No
33,No
65,No
22,No
37,No
48,No
22,No
38,Yes
21,No
32,No
43,No
27,No
34,No
26,No
34,No
NA,No
37,No
29,No
56,No
54,No
19,No
53,No
55,No
33,No
42,No
30,No
19,No
29,No
58,No
23,No
35,No
21,No
27,No
31,No
25,No
NA,No
23,No
26,No
26,No
45,No
16,Yes
33,No
33,No
30,No
28,No
NA,No
23,No
41,No
27,No
23,No
24,Yes
NA,No
48,No
30,No
52,No
26,No
41,No
42,No
32,No
19,No
30,No
30,No
NA,Yes
32,No
25,No
27,No
33,Yes
29,No
31,No
36,No
22,No
40,No
NA,No
31,No
33,Yes
36,No
30,No
23,No
45,No
30,No
45,No
38,Yes
32,No
33,No
36,No
28,No
NA,No
37,No
34,No
28,No
27,No
41,No
24,No
23,No
32,No
31,No
26,No
NA,Yes
42,No
29,No
16,Yes
39,No
28,No
27,No
26,No
30,No
39,No
52,No
33,No
29,No
23,No
25,No
26,No
38,Yes
50,No
19,Yes
34,No
52,No
34,No
45,No
18,No
30,No
26,No
25,No
25,No
29,No
35,No
28,No
19,No
34,No
31,Yes
6,Yes
34,No
29,No
34,No
45,No
NA,No
NA,No
25,No
45,No
36,No
27,No
35,No
30,No
39,No
29,No
31,No
30,No
28,No
23,Yes
48,No
33,No
28,No
20,No
36,No
48,No
32,No
23,No
44,No
31,No
NA,No
29,No
24,No
19,No
28,No
41,No
31,No
35,Yes
41,No
NA,No
39,No
20,No
55,No
33,No
27,No
27,No
31,Yes
24,No
31,No
40,No
51,No
36,Yes
23,No
29,No
52,No
27,No
30,No
44,No
24,No
26,No
22,No
27,No
30,No
24,No
63,No
20,No
NA,Yes
26,No
24,No
34,No
21,No
41,No
33,No
50,Yes
53,No
47,No
42,No
40,No
24,No
41,No
35,No
23,No
30,No
40,No
30,No
43,No
29,No
35,No
30,No
31,No
40,No
34,No
27,No
31,No
36,No
15,No
43,No
41,No
30,No
24,No
20,No
NA,No
24,No
29,No
50,No
35,No
38,No
30,No
22,No
31,No
26,No
21,No
36,No
24,No
50,No
23,No
28,No
41,No
27,No
52,No
19,No
42,No
29,No
23,No
21,Yes
27,No
22,No
23,No
38,No
23,No
29,No
30,No
27,No
26,No
26,No
21,No
31,No
46,No
20,No
25,No
55,No
32,No
35,No
55,No
24,No
33,No
39,No
26,No
47,No
35,No
34,No
35,No
29,No
35,No
48,No
21,Yes
26,No
26,No
52,No
28,No
28,No
23,No
33,No
26,No
40,No
46,No
26,No
60,Yes
50,No
51,No
24,No
27,No
57,No
13,Yes
23,No
26,No
22,No
34,No
29,No
33,No
35,No
34,No
30,No
70,No
49,No
27,No
27,No
38,No
59,No
40,Yes
51,No
25,No
14,Yes
6,Yes
28,No
32,No
24,No
34,Yes
22,No
35,No
35,No
44,No
24,No
28,No
42,No
35,No
32,No
25,No
18,No
34,No
37,No
16,No
65,No
41,No
28,No
51,No
41,No
NA,No
44,No
29,No
39,No
42,No
33,No
NA,No
19,No
21,No
19,No
NA,No
NA,No
33,No
40,No
28,No
29,No
53,No
50,No
43,Yes
34,No
31,Yes
29,No
34,No
36,No
43,No
20,No
26,No
31,No
30,Yes
NA,No
37,Yes
12,Yes
38,No
29,No
75,No
29,No
35,Yes
11,Yes
18,No
50,Yes
22,No
26,No
13,Yes
49,No
25,No
29,No
29,No
35,No
23,No
41,No
50,No
NA,No
29,No
28,No
31,Yes
32,No
37,No
31,No
24,No
31,No
33,No
23,No
25,No
26,No
40,No
34,No
32,No
35,No
24,No
30,No
28,No
22,Yes
48,No
34,No
53,No
24,No
26,No
30,No
34,Yes
19,No
31,No
NA,No
39,No
NA,No
58,No
45,No
63,No
30,No
22,No
NA,No
33,No
42,No
23,No
38,No
45,No
27,No
31,No
35,No
64,No
32,No
48,No
23,No
34,No
23,No
24,No
26,No
44,No
69,No
22,No
NA,Yes
49,No
NA,No
34,No
13,Yes
34,No
52,No
42,No
28,Yes
NA,No
40,No
21,No
36,No
35,No
27,No
24,No
33,No
53,No
48,No
55,No
31,No
42,Yes
NA,No
30,No
40,No
37,No
42,Yes
30,No
52,No
41,No
11,Yes
33,No
45,No
35,No
33,No
50,No
36,No
62,No
36,No
34,No
NA,No
31,No
35,No
27,No
24,No
34,No
30,No
66,No
35,No
24,No
28,No
25,No
35,No
24,No
33,No
40,No
22,No
40,Yes
58,Yes
35,No
45,No
53,No
30,No
35,No
29,No
32,Yes
28,No
40,No
32,No
38,No
27,No
30,No
22,No
28,No
48,No
57,No
35,Yes
44,No
24,No
37,No
28,No
28,No
25,No
27,No
NA,No
34,No
NA,No
42,No
48,No
22,No
45,Yes
41,Yes
32,No
30,No
44,No
43,No
45,No
32,No
35,Yes
31,No
42,No
41,Yes
23,Yes
33,No
37,No
37,No
30,No
26,No
34,No
53,No
57,No
51,No
NA,No
42,No
46,No
17,Yes
29,No
NA,No
35,No
45,No
25,No
36,Yes
27,No
27,No
28,No
41,No
45,No
40,No
29,No
20,No
24,No
38,No
45,No
16,Yes
31,No
41,No
30,No
36,No
36,No
27,Yes
28,No
31,No
100,Yes
53,No
45,No
26,No
30,No
45,Yes
29,No
40,No
32,No
47,No
34,No
42,No
45,No
27,No
45,No
29,No
38,No
34,No
32,No
37,No
25,No
33,No
25,No
35,No
26,No
49,No
38,No
32,No
25,No
55,No
31,No
39,No
39,No
36,No
26,No
48,No
21,Yes
28,No
35,No
34,No
21,No
42,No
49,No
45,No
27,No
NA,No
34,No
52,No
34,No
39,No
48,No
22,No
24,No
38,Yes
37,No
29,No
35,No
37,Yes
29,No
35,No
51,No
35,No
46,No
55,No
43,No
40,No
29,No
29,No
32,No
28,No
28,No
17,No
32,No
31,No
29,No
33,No
NA,No
39,No
50,No
43,No
37,No
30,No
48,No
34,Yes
25,No
36,No
25,No
39,No
39,No
52,No
45,No
21,No
29,No
34,No
24,No
41,No
31,No
47,No
28,Yes
59,No
39,Yes
31,No
44,No
45,No
32,No
37,No
35,No
39,No
38,No
32,No
32,No
NA,No
36,No
46,No
25,No
52,No
23,No
39,No
25,No
35,Yes
25,No
52,No
49,No
30,No
44,Yes
26,No
54,No
31,No
42,No
60,No
59,No
36,No
32,Yes
44,Yes
63,No
25,No
38,No
24,No
41,No
31,No
28,No
46,No
45,No
43,No
47,No
46,No
29,No
NA,No
35,No
41,No
30,Yes
37,Yes
17,No
32,No
38,No
35,No
37,No
20,No
27,No
47,No
38,No
65,No
40,No
35,No
29,No
63,No
54,No
31,No
23,No
23,No
34,No
29,No
35,No
34,No
